,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL,Acceleration,Aggression,Agility,Balance,ballControll,Composure,Crossing,Defending,Height,Weight,Nationality,position
73,D. Alaba,25,85,146,87,43.1,2263,86,69,79,77,83,79,81,240,180,76,Austria,LB CB CM
74,Koke,25,85,95,88,53.2,2146,74,71,77,79,86,75,84,186,177,73,Spain,CM RM LM
75,K. Navas,30,85,185,85,27.4,1302,54,32,60,61,19,49,11,40,185,80,Costa Rica,GK
76,K. Manolas,26,85,107,87,43.1,1651,82,86,68,60,65,79,27,264,189,83,Greece,CB
77,B. Leno,25,85,69,88,38.1,1247,46,28,52,44,22,62,9,41,190,83,Germany,GK
78,N. Otamendi,29,85,202,85,33.6,1931,62,91,69,62,69,84,52,254,183,81,Argentina,CB
79,N. Mati,28,85,202,85,34.7,2146,62,83,56,53,79,84,71,238,194,85,Serbia,CDM CM
80,M. Reus,28,85,110,85,43.7,2140,86,49,86,81,85,83,77,112,180,75,Germany,LM LW ST CAM
81,I. Gndoan,26,85,213,86,49.8,2138,72,68,82,80,87,87,74,188,180,80,Germany,CM CDM
82,T. Alderweireld,28,85,157,86,39.2,2040,63,80,60,50,70,81,64,263,187,91,Belgium,CB
83,I. Perii,28,85,123,85,43.7,2131,83,65,78,72,85,80,84,132,187,80,Croatia,LM CAM
84,E. Deko,31,85,129,85,38.6,1890,65,51,57,36,84,83,63,55,193,84,Bosnia Herzegovina,ST
85,Diego Costa,28,85,112,85,44.8,1976,76,93,58,52,82,83,65,101,188,83,Spain,ST
86,M. Benatia,30,85,162,85,31.9,1789,72,82,59,53,65,78,45,258,189,94,Morocco,CB
87,Sokratis,29,85,101,85,33.6,1853,70,90,62,68,58,82,47,261,186,85,Greece,CB
88,B. Matuidi,30,85,162,85,31.9,2194,79,86,83,79,79,82,75,248,180,75,France,CDM CM
89,Miranda,32,85,107,85,24.6,1881,67,82,61,57,72,80,48,261,186,78,Brazil,CB
90,Falcao,31,85,76,85,38.6,2018,73,75,85,75,82,87,55,77,177,72,Colombia,ST
91,K. Benzema,29,85,280,85,43.1,1953,78,65,77,61,86,79,75,40,185,81,France,ST
92,Cesc Fbregas,30,85,196,85,39.8,2082,60,45,63,77,85,92,85,173,180,77,Spain,CM CDM
93,F. Ribry,34,85,168,85,21.8,1949,83,52,86,91,88,86,81,64,170,72,France,LM LW
94,V. Kompany,31,85,190,85,29.1,1913,59,87,59,42,70,81,61,253,193,85,Belgium,CB
95,Fernandinho,32,85,190,85,24.6,2196,73,87,77,80,82,78,68,242,179,67,Brazil,CDM CM
96,Pepe,34,85,90,85,12.9,1831,65,94,63,49,62,79,46,252,188,81,Portugal,CB
97,Z. Ibrahimovi,35,85,17,85,19.6,2024,58,84,75,41,84,90,73,102,195,95,Sweden,ST
98,K. Mbapp,18,84,46,94,52.6,2074,92,62,83,77,87,80,72,125,178,73,France,ST RW
99,E. Bailly,23,84,168,89,39.8,1890,75,87,63,63,68,74,51,252,187,77,Ivory Coast,CB
100,Marco Asensio,21,84,218,92,51.5,2028,85,45,78,76,86,83,81,110,182,76,Spain,LW CAM RW
101,Bernardo Silva,22,84,202,90,47.6,2024,85,58,88,86,89,85,85,125,173,64,Portugal,RW
102,N. Fekir,23,84,103,88,45.4,2079,80,73,86,91,89,89,83,85,173,75,France,CAM ST
103,Alisson,24,84,71,90,34.7,1288,44,27,30,37,30,68,17,55,191,91,Brazil,GK
104,J. Kimmich,22,84,129,88,37.5,2178,77,74,83,83,85,81,90,237,176,70,Germany,RB CM CB CDM
105,N. Sle,21,84,118,90,40.9,1638,51,82,33,32,63,72,30,251,195,97,Germany,CB
106,D. Alli,21,84,129,90,48.2,2126,77,84,74,62,85,86,68,180,188,80,England,CAM CF
107,Fabinho,23,84,55,89,39.8,2129,73,85,71,69,81,80,79,253,188,78,Brazil,CDM
108,S. Man,25,84,196,85,41.4,2055,94,73,89,85,84,78,72,106,175,69,Senegal,LW RW
109,Sal,22,84,86,91,48.2,2149,74,69,76,68,85,82,69,232,184,76,Spain,CM LM RM
110,Marquinhos,23,84,110,89,39.8,1887,75,80,69,68,76,79,72,260,183,75,Brazil,CB
111,S. Umtiti,23,84,196,90,40.9,2125,74,80,68,66,76,75,69,253,182,75,France,CB
112,Carvajal,25,84,218,87,35.8,2039,76,81,82,79,83,74,83,256,173,73,Spain,RB
113,R. Mahrez,26,84,134,84,37.5,1984,85,41,92,86,89,83,81,76,179,67,Algeria,RM
114,V. van Dijk,25,84,162,86,35.3,2023,71,80,57,51,73,83,53,251,193,92,Netherlands,CB
115,J. Draxler,23,84,134,87,44.2,2097,76,48,80,75,89,81,83,142,187,77,Germany,LW CM LM CAM
116,Morata,24,84,190,88,45.9,1878,79,56,65,60,82,80,73,48,189,85,Spain,ST
117,T. Horn,24,84,44,90,34.7,1259,45,41,50,31,22,20,19,36,192,90,Germany,GK
118,H. Son,24,84,140,87,44.2,2056,88,60,83,78,85,80,78,94,183,65,Korea Republic,LM ST
119,A. Lopes,26,84,87,86,29.1,1353,63,43,67,62,21,48,19,41,184,81,Portugal,GK
120,S. de Vrij,25,84,82,89,39.2,1803,68,78,61,60,71,82,49,255,189,78,Netherlands,CB
121,M. Perin,24,84,40,89,33.6,1248,57,25,70,30,23,58,11,45,188,77,Italy,GK
122,A. Lacazette,26,84,202,85,41.4,2050,82,70,87,84,83,85,64,95,175,73,France,ST
123,H. Mkhitaryan,28,84,196,84,35.3,2135,88,69,89,85,86,76,77,157,177,75,Armenia,CAM RW RM LM
124,Iago Aspas,29,84,57,84,34.2,2052,85,63,88,79,86,85,78,59,176,67,Spain,RW ST
125,D. Subai,32,84,52,84,20.2,1295,51,31,42,37,19,65,11,42,191,84,Croatia,GK
126,K. Glik,29,84,67,84,26.9,1606,53,86,34,55,59,79,29,252,190,80,Poland,CB
127,Douglas Costa,26,84,168,84,37.5,2050,96,55,93,91,89,82,78,96,172,70,Brazil,LM RW LW
128,Parejo,28,84,66,84,34.7,2123,55,58,69,72,83,78,84,186,182,74,Spain,CM CAM CDM
129,K. Walker,27,84,190,84,28.6,2180,87,78,70,72,78,75,81,246,183,70,England,RB RWB
130,W. Szczsny,27,84,134,86,28,1262,51,40,55,51,22,65,12,36,195,90,Poland,GK
131,Y. Brahimi,27,84,30,84,36.4,1990,86,46,93,87,85,87,78,85,175,66,Algeria,LM
132,A. Di Mara,29,84,162,84,34.2,2097,86,73,92,79,84,82,83,149,180,69,Argentina,RW LW
133,Willian,28,84,224,84,35.3,2061,91,44,89,81,84,79,76,151,175,77,Brazil,RW RM
134,David Luiz,30,84,179,84,25.8,2115,69,86,72,56,79,77,68,244,189,84,Brazil,CB
135,S. Khedira,30,84,179,84,32.5,2155,60,82,59,52,81,84,72,232,189,90,Germany,CM CDM
136,Sergio Asenjo,28,84,52,85,28,1338,59,20,62,58,14,39,24,41,189,87,Spain,GK
137,Javi Martnez,28,84,162,84,28,1993,49,90,54,58,74,83,60,255,190,81,Spain,CDM CB
138,D. Payet,30,84,61,84,33,2035,75,57,79,80,90,82,85,104,175,77,France,CAM LW
139,Jonas,33,84,30,84,21.8,2018,66,61,77,69,89,87,70,84,182,74,Brazil,ST
140,C. Marchisio,31,84,179,84,29.7,2179,78,78,81,79,85,84,76,226,180,74,Italy,CM CDM
141,Naldo,34,84,70,84,10.6,1966,67,73,50,36,68,84,45,252,198,91,Brazil,CB
142,S. Ruffier,30,84,54,84,22.4,1252,45,31,51,55,15,57,11,34,188,93,France,GK
143,M. Dembl,29,84,168,84,33.6,2205,75,79,82,76,89,90,65,224,185,88,Belgium,CM CDM
144,A. Gmez,29,84,67,84,34.7,2026,94,56,92,94,87,84,82,88,165,68,Argentina,CF LW ST
145,A. Barzagli,36,84,118,84,4.7,1737,60,66,51,64,65,82,40,262,187,87,Italy,CB
146,Aduriz,36,84,42,84,12.3,2010,69,82,53,57,84,87,54,139,182,78,Spain,ST
147,P. ech,35,84,88,84,8.4,1181,35,17,49,34,22,70,19,36,196,90,Czech Republic,GK
148,O. Dembl,20,83,168,92,44.8,1969,93,54,90,85,85,73,77,92,178,67,France,RW LW
149,Gabriel Jesus,20,83,140,92,45.9,2007,89,58,92,91,85,82,66,62,175,73,Brazil,ST
150,S. Milinkovi-Savi,22,83,63,89,39.2,2154,68,73,66,59,86,79,60,215,191,76,Serbia,CM CAM
151,N. Keta,22,83,76,88,38.1,2044,82,78,90,90,88,79,62,180,172,64,Guinea,CM CDM CAM
152,J. Gimnez,22,83,59,87,31.9,1758,68,89,57,50,56,73,47,256,185,77,Uruguay,CB RB
153,T. Lemar,21,83,42,89,40.3,2178,86,63,85,84,86,80,80,185,170,58,France,LM CAM
154,A. Laporte,23,83,129,88,33,1910,68,72,49,55,72,74,58,256,189,85,France,CB
155,T. Werner,21,83,76,87,38.6,1925,93,63,79,76,84,74,69,56,180,75,Germany,ST
156,A. Martial,21,83,129,90,40.9,2072,92,59,85,82,86,80,76,110,184,76,France,LM LW ST
157,L. Goretzka,22,83,51,88,38.1,2218,85,84,76,72,82,81,75,231,189,79,Germany,CM CAM CDM
158,Q. Promes,25,83,86,84,34.7,2021,86,60,87,79,82,78,79,76,174,72,Netherlands,RM ST LM
159,William Carvalho,25,83,24,86,30.8,1967,52,75,45,50,78,89,66,233,187,83,Portugal,CDM CM
160,F. Thauvin,24,83,41,86,37,2020,88,56,82,71,84,82,82,89,179,70,France,RM RW
161,Danilo Pereira,25,83,20,86,30.8,2029,67,88,58,60,77,84,50,243,188,83,Portugal,CDM CB CM
162,Vitolo,27,83,76,83,30.2,1983,81,61,75,63,85,70,80,69,184,80,Spain,LM RM
163,Pizzi,27,83,21,83,29.7,2182,83,73,87,84,82,85,77,178,177,72,Portugal,CM
164,O. Baumann,27,83,41,84,22.4,1217,47,32,45,43,17,52,14,42,187,82,Germany,GK
165,J. Cuadrado,29,83,146,83,28.6,2144,90,74,91,83,85,78,78,200,179,72,Colombia,RM
166,M. Gtze,25,83,77,87,37,2064,74,58,86,85,90,86,78,148,176,75,Germany,CM CAM CF
167,S. Mustafi,25,83,123,85,29.7,1940,64,79,66,69,70,74,50,248,184,82,Germany,CB
168,Ander Herrera,27,83,162,83,29.7,2212,76,86,84,82,85,84,74,235,182,70,Spain,CM CDM
169,J. Pastore,28,83,112,83,28.6,2064,69,65,80,58,86,79,77,159,188,77,Argentina,CM LW RW
170,L. Hrdeck,27,83,34,83,19.6,1130,38,31,43,39,20,48,11,34,190,80,Finland,GK
171,K. Strootman,27,83,90,83,29.7,2142,65,86,65,68,84,85,74,230,186,78,Netherlands,CM CDM
172,Pedro,29,83,174,83,28.6,1989,84,56,84,82,86,78,78,93,169,65,Spain,RW LW
173,S. Kagawa,28,83,84,83,29.1,1891,77,30,92,88,85,82,65,81,175,68,Japan,CAM CF CM
174,B. Dost,28,83,31,83,30.2,1816,54,72,38,35,73,81,38,103,196,89,Netherlands,ST
175,Paulinho,28,83,202,83,28.6,2226,76,81,70,66,84,80,64,228,181,81,Brazil,CM CAM CDM RM
176,S. N'Zonzi,28,83,28,83,23.5,2032,52,87,43,31,82,85,59,236,196,75,France,CDM CM
177,M. Balotelli,26,83,57,83,31.9,1920,78,70,71,50,85,81,68,58,189,88,Italy,ST
178,A. Ramsey,26,83,146,84,33.6,2118,67,73,76,75,82,81,75,197,183,76,Wales,CM CDM
179,Jos Callejn,30,83,97,83,27.4,1987,90,54,85,81,84,79,77,88,178,73,Spain,RW
180,Giuliano,27,83,96,84,33,2066,85,71,85,85,84,82,73,128,172,68,Brazil,CAM RW
181,M. Manduki,31,83,151,83,26.3,2104,68,88,67,53,77,80,72,184,190,85,Croatia,ST LW
182,F. Fazio,30,83,82,83,21.3,1633,31,84,29,32,72,84,44,250,195,85,Argentina,CB
183,B. Hwedes,29,83,56,83,22.4,1862,62,79,63,61,68,82,58,250,188,77,Germany,CB
184,R. Fhrmann,28,83,46,84,23.5,1181,38,36,39,36,24,61,14,34,196,95,Germany,GK
185,E. Banega,29,83,30,83,28,2103,71,73,81,84,85,79,80,198,174,71,Argentina,CM CDM CAM
186,Juan Mata,29,83,168,83,28.6,1991,71,54,85,89,88,86,84,77,170,63,Spain,RM CAM
187,Rui Patrcio,29,83,22,83,19.6,1350,53,39,61,54,23,53,12,37,190,84,Portugal,GK
188,L. Bender,28,83,72,83,23.5,2042,66,79,65,63,75,83,69,245,185,81,Germany,CDM CM RB
189,L. Piszczek,32,83,73,83,16.2,2144,75,83,66,66,76,82,86,246,184,79,Poland,RB CB
190,E. Garay,30,83,44,83,21.3,1954,39,74,57,38,73,79,62,251,189,90,Argentina,CB
191,E. Viviano,31,83,42,83,17.4,1170,30,18,35,32,22,64,12,41,195,90,Italy,GK
192,A. Valencia,31,83,146,83,19,2192,88,84,75,83,81,83,83,239,180,83,Ecuador,RB RWB
193,L. Koscielny,31,83,129,83,19.6,1854,71,87,68,62,67,75,52,250,186,75,France,CB
194,Ral Albiol,31,83,82,83,19.6,1751,57,80,53,56,68,73,38,257,190,82,Spain,CB
195,Dani Alves,34,83,98,83,8.4,2204,79,78,85,87,86,80,85,233,172,68,Brazil,RB
196,R. Jarstein,32,83,34,83,16.8,1190,40,34,35,45,23,55,18,37,190,82,Norway,GK
197,D. De Rossi,33,83,82,83,11.8,2101,64,84,64,72,78,87,57,241,184,83,Italy,CDM
198,Pepe Reina,34,83,66,83,11.8,1291,50,32,50,60,23,60,11,58,188,92,Spain,GK
199,Quaresma,33,83,75,83,17.4,1945,85,62,91,84,88,80,90,40,175,67,Portugal,RM LM
200,G. Donnarumma,18,82,39,93,30.2,1266,46,30,64,38,28,68,12,42,196,90,Italy,GK
201,L. Bailey,19,82,43,89,34.2,1982,94,58,86,79,83,75,78,57,180,75,Jamaica,LM RM
202,Gelson Martins,22,82,24,88,34.2,2014,95,57,94,94,83,85,81,125,173,65,Portugal,RM LM
203,Malcom,20,82,57,90,37,1972,86,53,93,84,84,78,79,61,171,75,Brazil,RW
204,D. Snchez,21,82,85,88,29.1,1805,76,85,62,55,70,75,36,252,187,79,Colombia,CB
205,C. Tolisso,22,82,109,89,34.2,2199,77,81,77,73,80,74,67,221,181,78,France,CM CDM
206,J. Seri,25,82,50,82,26.3,2179,82,73,83,86,84,83,72,217,168,65,Ivory Coast,CM CDM
207,G. Rulli,25,82,32,87,23.5,1288,54,26,58,50,15,30,12,46,189,84,Argentina,GK
208,A. Christensen,21,82,104,90,31.9,1740,74,73,63,62,73,80,49,256,188,78,Denmark,CB
209,K. Coman,21,82,98,87,33.6,1892,94,36,87,84,82,75,80,41,178,71,France,RM LM
210,J. Tah,21,82,52,88,29.1,1653,64,71,48,39,64,70,35,248,194,95,Germany,CB
211,Alex Telles,24,82,18,86,26.9,2225,85,78,81,70,80,80,87,232,181,71,Brazil,LB
212,F. Bernardeschi,23,82,123,88,34.2,1995,84,52,85,79,87,83,77,96,185,77,Italy,RM CF LM
213,Bruno Fernandes,22,82,24,87,33,2210,79,64,85,82,82,79,83,186,179,69,Portugal,CAM CF CM
214,J. Brandt,21,82,59,88,34.2,1881,79,42,82,75,85,69,77,69,183,82,Germany,LM RM CAM
215,Andr Gomes,23,82,168,88,33.6,2087,71,81,67,64,80,78,61,206,188,84,Portugal,CM LM RM
216,A. Rabiot,22,82,93,86,31.9,2149,73,74,78,53,84,82,70,223,192,80,France,CM CDM
217,J. Vardy,30,82,108,82,24.1,2077,91,92,78,78,76,82,64,151,179,74,England,ST
218,Lucas Vzquez,26,82,207,83,29.1,2042,85,65,81,85,83,67,85,125,173,70,Spain,RW RM
219,A. Belotti,23,82,65,87,33.6,1930,80,83,79,75,75,75,42,70,181,72,Italy,ST
220,E. Forsberg,25,82,84,84,30.2,1934,77,62,83,83,83,79,84,66,179,78,Sweden,CAM LM
221,Felipe,28,82,22,82,20.2,1793,63,90,60,57,64,74,45,245,191,86,Brazil,CB
222,C. Bacca,30,82,140,82,24.1,1886,77,62,76,77,80,78,60,42,181,77,Colombia,ST
223,M. Kovai,23,82,168,88,33.6,2079,85,71,81,85,87,72,73,184,178,78,Croatia,CM CDM
224,Kepa,22,82,24,87,24.1,1222,34,18,41,39,16,26,25,53,188,83,Spain,GK
225,Manu Trigueros,25,82,48,85,30.8,2134,73,71,78,71,84,73,69,194,178,71,Spain,CM CDM CAM LM
226,Jorginho,25,82,86,85,30.8,2139,78,79,82,73,84,79,75,212,180,65,Italy,CM
227,S. Savi,26,82,69,85,25.8,1692,60,83,60,54,66,75,35,251,187,80,Montenegro,CB
228,Iigo Martnez,26,82,36,84,25.2,1965,72,86,67,64,70,69,51,250,182,79,Spain,CB
229,A. Florenzi,26,82,82,83,23.5,2267,86,79,87,84,84,80,77,231,173,67,Italy,RB RW CM
230,T. Hazard,24,82,48,85,31.4,2035,86,62,91,83,83,80,83,110,174,69,Belgium,LM RM CF
231,S. Zaza,26,82,53,83,29.7,2030,82,90,77,69,80,72,52,127,186,84,Italy,ST
232,Suso,23,82,123,87,33,1927,84,23,86,86,89,76,83,60,176,70,Spain,RW CF
233,Lucas,24,82,118,84,30.8,2047,95,67,94,87,82,79,75,133,172,72,Brazil,RW LW
234,Sergi Roberto,25,82,168,85,25.8,2095,80,68,69,74,81,72,82,243,178,68,Spain,RB
235,G. Xhaka,24,82,123,85,30.8,1987,48,92,53,61,80,74,66,212,185,82,Switzerland,CM CDM
236,W. Zaha,24,82,80,85,31.9,1942,90,72,89,80,87,79,81,102,180,66,Ivory Coast,CF LM RM
237,J. Matip,25,82,123,84,25.2,1878,60,78,58,49,71,75,54,246,195,90,Cameroon,CB
238,K. Kampl,26,82,88,83,28.6,2034,86,64,91,81,83,83,64,167,178,67,Slovenia,CM CAM
239,Willian Jos,25,82,47,85,31.9,1942,65,65,65,50,80,75,54,91,189,93,Brazil,ST
240,I. Gueye,27,82,129,82,20.7,2037,78,84,75,82,79,80,60,250,174,66,Senegal,CDM CM
241,Vctor Ruiz,28,82,48,83,22.4,1849,59,82,57,58,71,72,54,253,185,78,Spain,CB
242,X. Shaqiri,25,82,103,83,29.7,2112,86,61,87,91,85,82,80,142,169,72,Switzerland,RW RM CAM
243,Marcos Alonso,26,82,140,83,23.5,2173,74,75,67,58,81,76,84,237,188,84,Spain,LWB
244,G. Bonaventura,27,82,129,82,25.8,2201,78,68,81,77,85,82,82,200,181,75,Italy,CM LW
245,Taison,29,82,1,82,24.1,2054,93,56,89,83,85,74,73,131,172,64,Brazil,CAM LM
246,Oscar,25,82,0,84,0,1971,75,43,86,80,84,78,74,136,179,66,Brazil,CAM CM
247,Marlos,29,82,1,82,24.1,2060,85,58,92,84,88,84,76,136,174,69,Ukraine,RM
248,O. Toprak,27,82,73,83,23.5,1861,73,72,64,61,72,78,49,249,186,83,Turkey,CB
249,Luiz Gustavo,29,82,45,82,19,2006,65,88,65,62,73,79,63,245,187,78,Brazil,CDM CB
250,Adrien Silva,28,82,103,82,24.6,2157,64,79,73,67,85,81,78,229,175,69,Portugal,CM
251,S. Giovinco,30,82,17,82,24.1,1952,88,75,92,90,86,82,72,80,163,61,Italy,CF ST
252,Bruno,33,82,50,82,14.6,2022,42,76,53,59,82,86,60,233,184,73,Spain,CM CDM
253,M. Kruse,29,82,52,82,24.6,2052,74,63,75,76,86,86,81,104,180,76,Germany,CF ST CAM
254,L. Fejsa,28,82,20,82,20.2,1943,52,91,56,56,72,75,50,240,183,80,Serbia,CDM CM
255,V. orluka,31,82,60,82,16.8,1922,49,81,57,46,73,78,68,248,192,84,Croatia,CB
256,G. Wijnaldum,26,82,146,83,28.6,2167,79,64,82,80,84,79,67,193,175,69,Netherlands,CM
257,A. Lallana,29,82,151,82,24.1,2123,73,74,82,75,86,80,74,189,178,73,England,CM
258,O. Giroud,30,82,168,82,24.1,1939,51,76,59,52,82,78,64,83,192,88,France,ST
259,B. Ivanovi,33,82,82,82,10.1,1986,63,86,57,47,66,81,72,248,185,91,Serbia,CB RB
